1,Mark Williams,lisa56@gmail.com,r9A56Nqy)C,677,Intro to Software Engineering,74503678059458,Software Engineering,47,SOF371,2502,1,180,0
2,Steven Williams,lee31@gmail.com,q)9y80KpXr,154,Intermediate Computer Science,70048041462000,Computer Science,801,COM283,7523,1,118,1
3,Justin Kaiser,maldonadorandall@gmail.com,YP*8HXg%A%,420,Intermediate Computer Science,27991553769848,Computer Science,702,COM358,508,1,411,1
4,Scott Becker,angel72@reyes-price.biz,*JXe*usDT0,810,Intro to Molecular Biology,26433328521851,Molecular Biology,596,MOL346,8661,0,605,0
5,Matthew Luna,lwolf@gmail.com,0UAPHhe$+n,760,Intro to Biochemistry,70097897072089,Biochemistry,301,BIO146,9996,1,868,1
6,Christopher Rivera,tramirez@hotmail.com,X40PQ!ht%F,243,Intro to Molecular Biology,48854207917870,Molecular Biology,16,MOL126,7710,0,45,1
7,Antonio Finley,frostbianca@wong.com,_xT+P8MuS&,691,Intro to Physics,64757238162323,Physics,971,PHY197,1274,0,700,0
8,Alice Koch,nicholaswebster@hotmail.com,^pY4kckBH1,313,Advanced Computer Science,71674370849176,Computer Science,779,COM126,74,0,983,1
9,Robert Wiggins,regina61@lewis.com,^YyPgSTs_2,557,Advanced Math,45789175876062,Math,781,MAT323,7004,0,422,1
10,Nancy Berger,george18@hotmail.com,c89XFuEhW*,675,Advanced Molecular Biology,71875316395018,Molecular Biology,794,MOL284,4653,1,540,1
11,Joseph Randolph,hillanthony@jensen-smith.com,KDdq5Gew)R,692,Intermediate Biology,51792605204608,Biology,529,BIO134,1416,0,261,1
12,Pamela Snyder,moorebrian@gmail.com,^hp0UX)fI#,427,Advanced Molecular Biology,25225487892231,Molecular Biology,667,MOL152,9881,0,816,1
13,Jacqueline Moore,tyler14@perry-fox.com,)8+yR1dajZ,218,Intermediate Physics,22385381894134,Physics,720,PHY205,9539,0,809,1
14,Joseph Turner,abbottsharon@yahoo.com,Y)4Q#NciZq,601,Intermediate Molecular Biology,36278672375981,Molecular Biology,670,MOL298,798,1,314,1
15,John Carpenter,warrenrichard@johnson.biz,i14OeL)z$1,587,Intermediate Physics,15118831539275,Physics,443,PHY339,950,1,323,0
16,Jerry Reed,jacquelinehernandez@yahoo.com,8MZWFIWg^U,446,Intermediate Physics,15729546405768,Physics,619,PHY323,8708,1,245,1
17,Jamie Mcgrath,ericbowen@hall-hunter.info,382G#u@G^(,107,Advanced Software Engineering,83046352894096,Software Engineering,350,SOF261,8725,1,994,1
18,Crystal Haney,kennethsalas@nichols.com,(%1QQVqwFI,487,Intermediate Math,53058410953115,Math,551,MAT114,7887,0,777,1
19,James Cooke,brooksjason@gmail.com,+8SrMVzhho,428,Advanced Computer Science,43239164988344,Computer Science,987,COM312,1431,1,664,1
20,Elizabeth White,wigginsbarbara@king-robinson.com,!0EEyvTatD,657,Intermediate Biochemistry,48849886343385,Biochemistry,723,BIO286,4582,0,869,0
21,Jacqueline Robertson,andersonangela@waters-barrera.biz,K%1WjG9K*e,256,Advanced Computer Science,15203415634631,Computer Science,852,COM152,6751,1,321,1
22,Kristin Cook,mariahmaldonado@colon-rowe.org,_UUafw0fB4,573,Intermediate Computer Science,18894311952472,Computer Science,104,COM259,2607,0,803,0
23,Michelle Williams,mendezderrick@pittman.biz,l(r3FXxoWr,508,Intermediate Biology,78784438000266,Biology,263,BIO261,2847,1,371,0
24,Hannah Bradshaw,kkim@hotmail.com,%)0RD%td@*,79,Intro to Enviornmental Science,42551166051148,Enviornmental Science,396,ENV125,7229,0,536,1
25,Kim Morris,vsimpson@hotmail.com,cX(6n0Af)L,852,Advanced Math,27080695183924,Math,378,MAT364,3882,1,598,1
26,James Lee,chill@yahoo.com,K!Y88zDq8r,939,Advanced Enviornmental Science,44080369627633,Enviornmental Science,241,ENV374,5800,0,144,0
27,David Reese,aguirrechristopher@yahoo.com,p^dp%8MetZ,897,Intermediate Biology,84803322064768,Biology,595,BIO317,1323,0,445,1
28,Jay Gonzalez,xburnett@zuniga-patel.com,7%1&@C9hSN,982,Intro to Physics,81119077804597,Physics,242,PHY258,1947,1,907,0
29,Tracey Hobbs,alopez@hotmail.com,V6TIGmB0!5,986,Intermediate Biochemistry,72351716283350,Biochemistry,498,BIO149,1066,0,1000,1
30,Madison Craig,jessicaayers@gmail.com,$6*2Tghv(x,770,Intermediate Software Engineering,55009994981044,Software Engineering,868,SOF245,3947,0,247,0
31,Donald Perkins,tfritz@hotmail.com,@1MyH(Eq8V,661,Intermediate Data Analytics,31342798894106,Data Analytics,935,DAT291,7615,0,923,1
32,Andrew Green,micheal19@gmail.com,743QRSdT_L,117,Intermediate Data Analytics,84147197738617,Data Analytics,849,DAT393,9906,0,376,0
